Collection Title,Unit Title,Unit Date,Container Type,Container Number,Extent
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",National Broadcasting Company history files 1922-1986,1922-1986,,,1966 folders of manuscript and published papers
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division","Topical Folders, 1922-1986",1922-1986,,,649 folders. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Advertising & Promotion Department. 1935 - 1949.,1935 - 1949.,folder,1,33 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division","Advertising Agencies — Television Contacts. 1931 - 1941,","1931 - 1941,",folder,2,4 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Analysis Classification. 1940 - 1942.,1940 - 1942.,folder,3,6 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Anecdotes. 1935.,1935.,folder,4,2 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Tenth Anniversary (1 of 3). 1936.,1936.,folder,5,2 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Tenth Anniversary (2 of 3). 1936.,1936.,folder,6,28 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Tenth Anniversary (3 of 3). 1936.,1936.,folder,7,5 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Twelfth Anniversary. 1938.,1938.,folder,8,2 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Fifteenth Anniversary. 1941.,1941.,folder,9,5 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",WNBC/WEAF Twentieth Anniversary. 1942 - 1948.,1942 - 1948.,folder,10,6 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Twenty-fifth Anniversary. 1951.,1951.,folder,11,10 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Thirtieth Anniversary 1956 (1 of 3).,,folder,12,10 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Thirtieth Anniversary 1956 (2 of 3).,,folder,13,2 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Thirtieth Anniversary 1956 (3 of 3).,,folder,14,35 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Thirty-fifth Anniversary 1961.,,folder,15,3 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Thirty-seventh Anniversary 1963.,,folder,16,1 item. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Fortieth Anniversary 1966.,,folder,17,11 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Fiftieth Anniversary 1976 (1 of 2),,folder,18,100 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Fiftieth Anniversary 1976 (2 of 2),,folder,19,37 items.
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Sixtieth Anniversary. 1986.,1986.,,,2 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Announcements Television. 1937 - 1958.,1937 - 1958.,folder,21,22 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Artists Service Authorities. 1931 - 1940.,1931 - 1940.,folder,22,14 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Artists Service Private Entertainment Division. 1935 - 1939.,1935 - 1939.,folder,23,1 item. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Artists Service Radio Features Division 1939- .,,folder,24,1 item. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",.Artists Television 1932 - 1936.,1932 - 1936.,folder,25,2 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Awards. 1981 - 1984.,1981 - 1984.,folder,26,6 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Bicentennial Celebration. 1975.,1975.,folder,27,1 item. 
